Actor1Name,Action_menée,Actor2Name,ActionGeo_Fullname,SQLDATE,Sentiment,Type_Evènement,Impact_Evènement
BENIN,Critiquer ou condamner,Inconnu,Benin,20250117,Négatif,Conflit verbal,Evènement déstabilisant
ISRAEL,Exprimer l'intention de se rencontrer ou de négocier,PALESTINIAN,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire un commentaire optimiste,SECRETARIAT,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),SECRETARIAT,Benin,20250117,Positif,Coopération verbale,Evènement impartial
BENIN,Rejeter une demande de médiation,POLICE,Benin,20250117,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement impartial
GOVERNOR,Rejeter (non spécifié),BENIN,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Rejeter (non spécifié),Inconnu,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),MILITARY,Benin,20250117,Négatif,Coopération verbale,Evènement impartial
BENIN,Appel à céder / faire des concessions,FRENCH,Benin,20250117,Négatif,Coopération verbale,Evènement déstabilisant
SECURITY FORCE,Exiger de céder / concessions,FRANCE,Benin,20250117,Négatif,Conflit verbal,Evènement très déstabilisant
PROTESTER,Louer ou approuver,BENIN,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),AFRICA,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
TOGO,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
TOGO,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
SENEGAL,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
SENEGAL,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Fournir de l'aide (non spécifiée),Inconnu,"Abomey, Zou, Benin",20250117,Positif,Coopération matérielle,Evènement très stabilisant
AFRICA,Faire un appel ou une demande (non spécifié ailleurs),KING,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
CAMEROON,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Louer ou approuver,Inconnu,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
TERRORIST,Recevoir une visite officielle,NIGERIA,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
BENIN,S'engager dans un acte symbolique,Inconnu,"Kalale, Borgou, Benin",20250117,Neutre,Coopération verbale,Evènement impartial
CHAD,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
EUROPEAN,Critiquer ou condamner,BENIN,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
BENIN,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
KING,Faire une déclaration publique (non spécifié ailleurs),Inconnu,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement impartial
AFRICA,Faire un appel ou une demande (non spécifié ailleurs),BENIN,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
TOGO,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
CHAD,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
EUROPEAN,Critiquer ou condamner,BENIN,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
CAMEROON,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
NIGER,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
CAMEROON,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
SENEGAL,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
NIGER,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
NIGER,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
CHAD,Louer ou approuver,BURKINA FASO,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
KING,Louer ou approuver,Inconnu,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
AFRICA,Louer ou approuver,BENIN,"Abomey, Zou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Rejeter (non spécifié),Inconnu,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN CITY,Benin,20250117,Positif,Coopération verbale,Evènement impartial
SECRETARIAT,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250117,Positif,Coopération verbale,Evènement impartial
GOVERNOR,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement impartial
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement impartial
GOVERNOR,Désapprouver (non spécifié),Inconnu,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Rejeter (non spécifié),Inconnu,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
PROTESTER,Faire une déclaration publique (non spécifié ailleurs),FRENCH,Benin,20250117,Négatif,Coopération verbale,Evènement impartial
BENIN,Rejeter (non spécifié),FRENCH,Benin,20250117,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Torturer,ATTORNEY GENERAL,"Savalou, Collines, Benin",20250117,Négatif,Conflit matériel,Evènement très déstabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
MINIST OF STATE,Consulter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
GOVERNOR,Rejeter (non spécifié),Inconnu,Benin,20250117,Positif,Conflit verbal,Evènement déstabilisant
BISHOP,Exprimer l'intention de se rencontrer ou de négocier,BENINESE,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
PORTO NOVO,Louer ou approuver,Inconnu,"Parakou, Borgou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN CITY,Envisager une option politique,GOVERNOR,Benin,20250117,Positif,Coopération verbale,Evènement impartial
NAIJA,Enquêter (non spécifié),Inconnu,Benin,20250117,Positif,Coopération matérielle,Evènement déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement impartial
BENIN,Faire un appel ou une demande (non spécifié ailleurs),BENIN,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
BISHOP,Louer ou approuver,Inconnu,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
PORTO NOVO,Louer ou approuver,CATHOLIC,"Djougou, Donga, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,BISHOP,"Parakou, Borgou, Benin",20250117,Positif,Coopération verbale,Evènement stabilisant
NAIJA,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement impartial
NAIJA,Louer ou approuver,Inconnu,Benin,20250117,Positif,Coopération verbale,Evènement stabilisant
BANK,Fournir une aide économique,Inconnu,Benin,20250117,Positif,Coopération matérielle,Evènement très stabilisant
BANK,Fournir une aide économique,Inconnu,Benin,20250117,Positif,Coopération matérielle,Evènement très stabilisant
BENIN,Torturer,NIGERIA,Benin,20250117,Négatif,Conflit matériel,Evènement très déstabilisant
SCHOOL,Faire un commentaire pessimiste,Inconnu,Benin,20250117,Négatif,Coopération verbale,Evènement déstabilisant
GOVERNOR,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
COMMUNITY,Faire un appel ou une demande (non spécifié ailleurs),BENIN,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
COMMUNITY,Recevoir une visite officielle,AFRICA,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
COMMUNITY,Faire une déclaration publique (non spécifié ailleurs),SCHOOL,Benin,20250117,Négatif,Coopération verbale,Evènement impartial
AFRICA,Effectuer une visite officielle,COMMUNITY,Benin,20250117,Négatif,Coopération verbale,Evènement stabilisant
MEDIA,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250117,Négatif,Coopération verbale,Evènement impartial
